order_id,order_date,store_id,sales_channel,sku_code,quantity,price
32,2025-11-30 00:44:16.412583,1,POS,SKU020,3,462913
33,2025-11-18 00:44:16.412583,1,POS,SKU058,2,439931
34,2025-12-24 00:44:16.412583,4,ECOMMERCE,SKU084,3,471836
35,2025-10-20 00:44:16.412583,2,WEB,SKU019,2,264820
36,2025-10-05 00:44:16.412583,3,FACEBOOK,SKU050,1,473538
37,2025-12-04 00:44:16.412583,2,WEB,SKU045,3,267435
38,2025-11-12 00:44:16.412583,1,POS,SKU026,1,467455
39,2025-11-26 00:44:16.412583,4,ECOMMERCE,SKU061,1,374073
40,2025-12-07 00:44:16.412583,2,WEB,SKU049,2,578360
41,2025-10-02 00:44:16.412583,2,WEB,SKU087,3,237065
42,2025-10-19 00:44:16.412583,1,POS,SKU044,2,581490
43,2025-12-23 00:44:16.412583,2,WEB,SKU071,1,456508
44,2025-10-10 00:44:16.412583,3,FACEBOOK,SKU023,2,527069
45,2025-11-03 00:44:16.412583,1,POS,SKU006,2,319879
46,2025-12-19 00:44:16.412583,4,ECOMMERCE,SKU021,3,521879
47,2025-11-20 00:44:16.412583,2,WEB,SKU040,3,323855
48,2025-10-11 00:44:16.412583,4,ECOMMERCE,SKU007,2,310268
49,2025-12-26 00:44:16.412583,1,POS,SKU088,3,423165
50,2025-11-18 00:44:16.412583,3,FACEBOOK,SKU082,2,515139
51,2025-12-20 00:44:16.412583,2,WEB,SKU052,3,203890
52,2025-12-02 00:44:16.412583,1,POS,SKU060,3,405041
53,2025-10-05 00:44:16.412583,1,POS,SKU023,3,527069
54,2025-10-09 00:44:16.412583,1,POS,SKU072,1,479303
55,2025-12-20 00:44:16.412583,2,WEB,SKU005,3,459178
56,2025-11-06 00:44:16.412583,1,POS,SKU073,1,572654
57,2025-10-12 00:44:16.412583,4,ECOMMERCE,SKU087,2,237065
58,2025-10-13 00:44:16.412583,3,FACEBOOK,SKU086,3,396769
59,2025-12-30 00:44:16.412583,3,FACEBOOK,SKU054,1,456840
60,2025-11-26 00:44:16.412583,1,POS,SKU043,1,284654
61,2025-12-28 00:44:16.412583,2,WEB,SKU047,2,528947
62,2025-10-04 00:44:16.412583,3,FACEBOOK,SKU090,1,211534
63,2025-11-11 00:44:16.412583,1,POS,SKU033,1,592752
64,2025-11-07 00:44:16.412583,3,FACEBOOK,SKU066,2,451995
65,2025-11-17 00:44:16.412583,2,WEB,SKU081,2,541097
66,2025-10-19 00:44:16.412583,2,WEB,SKU082,1,515139
67,2025-12-07 00:44:16.412583,3,FACEBOOK,SKU075,2,280077
68,2025-12-12 00:44:16.412583,1,POS,SKU019,3,264820
69,2025-10-24 00:44:16.412583,4,ECOMMERCE,SKU092,1,457750
70,2025-10-23 00:44:16.412583,3,FACEBOOK,SKU070,1,248555
71,2025-12-18 00:44:16.412583,1,POS,SKU013,2,588468
72,2025-12-19 00:44:16.412583,2,WEB,SKU076,3,498064
73,2025-10-31 00:44:16.412583,3,FACEBOOK,SKU004,2,565838
74,2025-12-14 00:44:16.412583,3,FACEBOOK,SKU092,1,457750
75,2025-10-30 00:44:16.412583,2,WEB,SKU094,2,463160
76,2025-12-21 00:44:16.412583,2,WEB,SKU080,2,440181
77,2025-11-28 00:44:16.412583,4,ECOMMERCE,SKU047,2,528947
78,2025-12-25 00:44:16.412583,3,FACEBOOK,SKU037,1,349503
79,2025-11-29 00:44:16.412583,4,ECOMMERCE,SKU097,2,223247
80,2025-12-26 00:44:16.412583,4,ECOMMERCE,SKU060,3,405041
81,2025-10-21 00:44:16.412583,4,ECOMMERCE,SKU078,1,481601
82,2025-11-26 00:44:16.412583,1,POS,SKU057,2,470936
83,2025-12-15 00:44:16.412583,3,FACEBOOK,SKU068,2,354555
84,2025-12-21 00:44:16.412583,1,POS,SKU093,2,553531
85,2025-12-28 00:44:16.412583,2,WEB,SKU030,2,384779
86,2025-11-28 00:44:16.412583,3,FACEBOOK,SKU002,2,346867
87,2025-10-26 00:44:16.412583,1,POS,SKU082,2,515139
88,2025-12-01 00:44:16.412583,4,ECOMMERCE,SKU075,1,280077
89,2025-10-31 00:44:16.412583,3,FACEBOOK,SKU066,2,451995
90,2025-12-13 00:44:16.412583,3,FACEBOOK,SKU094,2,463160
91,2025-12-13 00:44:16.412583,1,POS,SKU093,2,553531
92,2025-12-29 00:44:16.412583,4,ECOMMERCE,SKU049,2,578360
93,2025-10-03 00:44:16.412583,2,WEB,SKU045,3,267435
94,2025-11-20 00:44:16.412583,2,WEB,SKU070,2,248555
95,2025-10-02 00:44:16.412583,2,WEB,SKU051,3,531236
96,2025-12-27 00:44:16.412583,1,POS,SKU080,3,440181
97,2025-10-07 00:44:16.412583,4,ECOMMERCE,SKU083,3,371829
98,2025-12-03 00:44:16.412583,3,FACEBOOK,SKU069,2,586502
99,2025-10-30 00:44:16.412583,3,FACEBOOK,SKU078,3,481601
100,2025-11-15 00:44:16.412583,1,POS,SKU035,1,546622
101,2025-12-21 00:44:16.412583,2,WEB,SKU048,1,231551
102,2025-12-19 00:44:16.412583,2,WEB,SKU011,2,287498
103,2025-12-26 00:44:16.412583,2,WEB,SKU017,3,241090
104,2025-12-24 00:44:16.412583,4,ECOMMERCE,SKU076,3,498064
105,2025-10-18 00:44:16.412583,1,POS,SKU067,3,582318
106,2025-10-13 00:44:16.412583,1,POS,SKU040,3,323855
107,2025-12-22 00:44:16.412583,4,ECOMMERCE,SKU009,1,254886
108,2025-11-09 00:44:16.412583,3,FACEBOOK,SKU054,2,456840
109,2025-10-05 00:44:16.412583,4,ECOMMERCE,SKU031,3,547449
110,2025-11-16 00:44:16.412583,4,ECOMMERCE,SKU041,3,265725
111,2025-10-17 00:44:16.412583,3,FACEBOOK,SKU027,1,303355
112,2025-11-07 00:44:16.412583,3,FACEBOOK,SKU049,2,578360
113,2025-11-23 00:44:16.412583,4,ECOMMERCE,SKU083,1,371829
114,2025-10-26 00:44:16.412583,3,FACEBOOK,SKU010,1,337337
115,2025-12-09 00:44:16.412583,2,WEB,SKU059,2,439629
116,2025-12-07 00:44:16.412583,3,FACEBOOK,SKU033,3,592752
117,2025-11-04 00:44:16.412583,3,FACEBOOK,SKU032,1,458795
118,2025-11-02 00:44:16.412583,1,POS,SKU076,2,498064
119,2025-11-07 00:44:16.412583,1,POS,SKU089,3,299299
120,2025-11-13 00:44:16.412583,2,WEB,SKU019,1,264820
121,2025-11-29 00:44:16.412583,3,FACEBOOK,SKU075,1,280077
122,2025-10-19 00:44:16.412583,3,FACEBOOK,SKU025,1,399041
123,2025-12-26 00:44:16.412583,2,WEB,SKU045,3,267435
124,2025-12-26 00:44:16.412583,2,WEB,SKU046,2,519030
125,2025-12-11 00:44:16.412583,3,FACEBOOK,SKU087,2,237065
126,2025-10-12 00:44:16.412583,3,FACEBOOK,SKU069,2,586502
127,2025-10-02 00:44:16.412583,2,WEB,SKU011,2,287498
128,2025-12-08 00:44:16.412583,4,ECOMMERCE,SKU016,1,478167
129,2025-11-28 00:44:16.412583,4,ECOMMERCE,SKU012,2,574871
130,2025-12-26 00:44:16.412583,1,POS,SKU077,3,400551
131,2025-12-26 00:44:16.412583,1,POS,SKU033,2,592752
132,2025-12-14 00:44:16.412583,2,WEB,SKU011,2,287498
133,2025-12-21 00:44:16.412583,3,FACEBOOK,SKU006,2,319879
134,2025-10-14 00:44:16.412583,1,POS,SKU070,3,248555
135,2025-10-30 00:44:16.412583,2,WEB,SKU014,2,375203
136,2025-10-04 00:44:16.412583,4,ECOMMERCE,SKU001,3,321958
137,2025-12-11 00:44:16.412583,3,FACEBOOK,SKU075,2,280077
138,2025-12-18 00:44:16.412583,4,ECOMMERCE,SKU032,1,458795
139,2025-12-22 00:44:16.412583,1,POS,SKU047,1,528947
140,2025-12-21 00:44:16.412583,1,POS,SKU073,2,572654
141,2025-12-29 00:44:16.412583,3,FACEBOOK,SKU052,2,203890
142,2025-12-23 00:44:16.412583,2,WEB,SKU054,2,456840
143,2025-10-15 00:44:16.412583,3,FACEBOOK,SKU100,1,209268
144,2025-10-06 00:44:16.412583,4,ECOMMERCE,SKU050,1,473538
145,2025-11-08 00:44:16.412583,2,WEB,SKU018,2,529365
146,2025-10-15 00:44:16.412583,2,WEB,SKU013,1,588468
147,2025-10-31 00:44:16.412583,2,WEB,SKU056,3,341699
148,2025-10-18 00:44:16.412583,4,ECOMMERCE,SKU057,2,470936
149,2025-11-28 00:44:16.412583,4,ECOMMERCE,SKU049,2,578360
150,2025-12-25 00:44:16.412583,4,ECOMMERCE,SKU038,3,330523
151,2025-12-29 00:44:16.412583,3,FACEBOOK,SKU009,3,254886
152,2025-11-23 00:44:16.412583,2,WEB,SKU003,3,331932
153,2025-10-20 00:44:16.412583,1,POS,SKU056,2,341699
154,2025-12-23 00:44:16.412583,3,FACEBOOK,SKU092,1,457750
155,2025-12-02 00:44:16.412583,2,WEB,SKU008,3,407892
156,2025-11-22 00:44:16.412583,1,POS,SKU072,2,479303
157,2025-10-05 00:44:16.412583,3,FACEBOOK,SKU045,3,267435
158,2025-11-17 00:44:16.412583,2,WEB,SKU097,1,223247
159,2025-11-26 00:44:16.412583,1,POS,SKU021,2,521879
160,2025-10-31 00:44:16.412583,2,WEB,SKU036,2,584681
161,2025-10-13 00:44:16.412583,4,ECOMMERCE,SKU043,3,284654
162,2025-11-17 00:44:16.412583,1,POS,SKU047,3,528947
163,2025-12-22 00:44:16.412583,4,ECOMMERCE,SKU097,2,223247
164,2025-10-08 00:44:16.412583,4,ECOMMERCE,SKU029,2,414176
165,2025-11-05 00:44:16.412583,3,FACEBOOK,SKU092,1,457750
166,2025-10-16 00:44:16.412583,4,ECOMMERCE,SKU085,2,402283
167,2025-10-12 00:44:16.412583,3,FACEBOOK,SKU089,3,299299
168,2025-10-28 00:44:16.412583,3,FACEBOOK,SKU040,3,323855
169,2025-12-21 00:44:16.412583,1,POS,SKU079,3,408261
170,2025-10-03 00:44:16.412583,1,POS,SKU036,1,584681
171,2025-11-12 00:44:16.412583,2,WEB,SKU077,1,400551
172,2025-10-17 00:44:16.412583,4,ECOMMERCE,SKU030,3,384779
173,2025-10-27 00:44:16.412583,4,ECOMMERCE,SKU031,1,547449
174,2025-12-10 00:44:16.412583,2,WEB,SKU013,1,588468
175,2025-12-15 00:44:16.412583,2,WEB,SKU080,1,440181
176,2025-10-30 00:44:16.412583,4,ECOMMERCE,SKU062,2,407624
177,2025-10-19 00:44:16.412583,4,ECOMMERCE,SKU085,3,402283
178,2025-10-01 00:44:16.412583,3,FACEBOOK,SKU032,2,458795
179,2025-10-19 00:44:16.412583,4,ECOMMERCE,SKU022,1,394027
180,2025-12-09 00:44:16.412583,1,POS,SKU067,2,582318
181,2025-10-23 00:44:16.412583,2,WEB,SKU003,1,331932
182,2025-12-24 00:44:16.412583,2,WEB,SKU060,1,405041
183,2025-10-17 00:44:16.412583,1,POS,SKU042,1,329981
184,2025-11-15 00:44:16.412583,4,ECOMMERCE,SKU053,1,241606
185,2025-12-15 00:44:16.412583,3,FACEBOOK,SKU091,2,240397
186,2025-10-03 00:44:16.412583,3,FACEBOOK,SKU056,1,341699
187,2025-11-03 00:44:16.412583,2,WEB,SKU052,1,203890
188,2025-10-17 00:44:16.412583,4,ECOMMERCE,SKU061,3,374073
189,2025-11-23 00:44:16.412583,3,FACEBOOK,SKU067,3,582318
190,2025-10-15 00:44:16.412583,4,ECOMMERCE,SKU083,3,371829
191,2025-10-09 00:44:16.412583,1,POS,SKU037,2,349503
192,2025-11-27 00:44:16.412583,4,ECOMMERCE,SKU066,2,451995
193,2025-12-05 00:44:16.412583,2,WEB,SKU052,3,203890
194,2025-10-14 00:44:16.412583,2,WEB,SKU061,2,374073
195,2025-12-04 00:44:16.412583,4,ECOMMERCE,SKU056,1,341699
196,2025-12-18 00:44:16.412583,3,FACEBOOK,SKU044,1,581490
197,2025-12-24 00:44:16.412583,4,ECOMMERCE,SKU049,3,578360
198,2025-11-08 00:44:16.412583,3,FACEBOOK,SKU091,2,240397
199,2025-12-22 00:44:16.412583,4,ECOMMERCE,SKU021,1,521879
200,2025-10-08 00:44:16.412583,1,POS,SKU038,2,330523
201,2025-11-21 00:44:16.412583,3,FACEBOOK,SKU088,2,423165
202,2025-12-27 00:44:16.412583,4,ECOMMERCE,SKU090,1,211534
203,2025-12-02 00:44:16.412583,1,POS,SKU029,3,414176
204,2025-11-26 00:44:16.412583,3,FACEBOOK,SKU039,1,202747
205,2025-10-11 00:44:16.412583,4,ECOMMERCE,SKU056,2,341699
206,2025-12-17 00:44:16.412583,2,WEB,SKU027,1,303355
207,2025-10-09 00:44:16.412583,4,ECOMMERCE,SKU070,1,248555
208,2025-11-05 00:44:16.412583,2,WEB,SKU064,3,452801
209,2025-12-21 00:44:16.412583,2,WEB,SKU092,3,457750
210,2025-12-10 00:44:16.412583,1,POS,SKU035,3,546622
211,2025-11-11 00:44:16.412583,3,FACEBOOK,SKU042,2,329981
212,2025-12-16 00:44:16.412583,1,POS,SKU022,3,394027
213,2025-11-07 00:44:16.412583,1,POS,SKU028,2,435796
214,2025-12-04 00:44:16.412583,1,POS,SKU087,3,237065
215,2025-11-25 00:44:16.412583,3,FACEBOOK,SKU085,1,402283
216,2025-12-29 00:44:16.412583,2,WEB,SKU011,1,287498
217,2025-12-23 00:44:16.412583,2,WEB,SKU029,3,414176
218,2025-12-10 00:44:16.412583,1,POS,SKU084,3,471836
219,2025-10-28 00:44:16.412583,3,FACEBOOK,SKU053,2,241606
220,2025-11-27 00:44:16.412583,4,ECOMMERCE,SKU011,1,287498
221,2025-11-22 00:44:16.412583,2,WEB,SKU027,2,303355
222,2025-11-28 00:44:16.412583,3,FACEBOOK,SKU015,2,391335
223,2025-11-23 00:44:16.412583,1,POS,SKU019,3,264820
224,2025-10-13 00:44:16.412583,2,WEB,SKU060,2,405041
225,2025-11-24 00:44:16.412583,4,ECOMMERCE,SKU012,2,574871
226,2025-12-25 00:44:16.412583,4,ECOMMERCE,SKU009,2,254886
227,2025-11-17 00:44:16.412583,2,WEB,SKU100,1,209268
228,2025-12-27 00:44:16.412583,2,WEB,SKU015,2,391335
229,2025-10-09 00:44:16.412583,4,ECOMMERCE,SKU091,1,240397
230,2025-10-11 00:44:16.412583,3,FACEBOOK,SKU099,1,282798
231,2025-11-25 00:44:16.412583,4,ECOMMERCE,SKU068,1,354555
232,2025-11-17 00:44:16.412583,2,WEB,SKU070,1,248555
233,2025-12-11 00:44:16.412583,4,ECOMMERCE,SKU082,1,515139
234,2025-12-15 00:44:16.412583,4,ECOMMERCE,SKU012,3,574871
235,2025-12-11 00:44:16.412583,1,POS,SKU074,2,306530
236,2025-12-25 00:44:16.412583,2,WEB,SKU071,1,456508
237,2025-11-22 00:44:16.412583,1,POS,SKU034,2,356730
238,2025-12-25 00:44:16.412583,4,ECOMMERCE,SKU024,2,452709
239,2025-10-07 00:44:16.412583,1,POS,SKU097,2,223247
240,2025-12-16 00:44:16.412583,1,POS,SKU050,2,473538
241,2025-11-15 00:44:16.412583,4,ECOMMERCE,SKU077,1,400551
242,2025-12-13 00:44:16.412583,3,FACEBOOK,SKU089,3,299299
243,2025-10-28 00:44:16.412583,4,ECOMMERCE,SKU058,1,439931
244,2025-12-24 00:44:16.412583,3,FACEBOOK,SKU042,2,329981
245,2025-10-29 00:44:16.412583,3,FACEBOOK,SKU034,1,356730
246,2025-11-14 00:44:16.412583,2,WEB,SKU011,3,287498
247,2025-11-17 00:44:16.412583,4,ECOMMERCE,SKU078,1,481601
248,2025-11-05 00:44:16.412583,4,ECOMMERCE,SKU096,3,420884
249,2025-10-29 00:44:16.412583,2,WEB,SKU086,2,396769
250,2025-12-11 00:44:16.412583,2,WEB,SKU077,3,400551
251,2025-12-18 00:44:16.412583,2,WEB,SKU060,3,405041
252,2025-12-22 00:44:16.412583,4,ECOMMERCE,SKU083,3,371829
253,2025-10-04 00:44:16.412583,2,WEB,SKU026,3,467455
254,2025-12-24 00:44:16.412583,2,WEB,SKU088,3,423165
255,2025-11-04 00:44:16.412583,4,ECOMMERCE,SKU078,1,481601
256,2025-10-24 00:44:16.412583,3,FACEBOOK,SKU053,2,241606
257,2025-12-29 00:44:16.412583,1,POS,SKU053,2,241606
258,2025-11-13 00:44:16.412583,1,POS,SKU006,2,319879
259,2025-10-01 00:44:16.412583,3,FACEBOOK,SKU051,1,531236
260,2025-10-19 00:44:16.412583,1,POS,SKU059,3,439629
261,2025-12-24 00:44:16.412583,1,POS,SKU009,2,254886
262,2025-10-09 00:44:16.412583,2,WEB,SKU075,1,280077
263,2025-12-21 00:44:16.412583,1,POS,SKU065,1,324243
264,2025-10-12 00:44:16.412583,1,POS,SKU093,3,553531
265,2025-12-07 00:44:16.412583,2,WEB,SKU026,1,467455
266,2025-11-18 00:44:16.412583,3,FACEBOOK,SKU075,2,280077
267,2025-11-28 00:44:16.412583,1,POS,SKU067,2,582318
268,2025-10-21 00:44:16.412583,4,ECOMMERCE,SKU049,2,578360
269,2025-11-09 00:44:16.412583,3,FACEBOOK,SKU014,3,375203
270,2025-11-11 00:44:16.412583,4,ECOMMERCE,SKU040,3,323855
271,2025-12-16 00:44:16.412583,1,POS,SKU025,1,399041
272,2025-10-07 00:44:16.412583,4,ECOMMERCE,SKU089,1,299299
273,2025-10-21 00:44:16.412583,4,ECOMMERCE,SKU067,3,582318
274,2025-10-07 00:44:16.412583,2,WEB,SKU061,3,374073
275,2025-10-11 00:44:16.412583,1,POS,SKU029,2,414176
276,2025-11-26 00:44:16.412583,3,FACEBOOK,SKU059,3,439629
277,2025-11-24 00:44:16.412583,2,WEB,SKU013,2,588468
278,2025-12-17 00:44:16.412583,3,FACEBOOK,SKU044,2,581490
279,2025-11-23 00:44:16.412583,1,POS,SKU006,2,319879
280,2025-10-28 00:44:16.412583,4,ECOMMERCE,SKU039,3,202747
281,2025-10-15 00:44:16.412583,3,FACEBOOK,SKU016,2,478167
282,2025-11-25 00:44:16.412583,1,POS,SKU038,1,330523
283,2025-11-06 00:44:16.412583,1,POS,SKU083,3,371829
284,2025-12-26 00:44:16.412583,3,FACEBOOK,SKU015,3,391335
285,2025-12-02 00:44:16.412583,1,POS,SKU037,3,349503
286,2025-12-25 00:44:16.412583,3,FACEBOOK,SKU050,2,473538
287,2025-10-06 00:44:16.412583,3,FACEBOOK,SKU044,1,581490
288,2025-11-20 00:44:16.412583,2,WEB,SKU087,3,237065
289,2025-10-08 00:44:16.412583,3,FACEBOOK,SKU086,1,396769
290,2025-10-27 00:44:16.412583,3,FACEBOOK,SKU039,2,202747
291,2025-10-28 00:44:16.412583,3,FACEBOOK,SKU058,1,439931
292,2025-11-02 00:44:16.412583,4,ECOMMERCE,SKU098,2,224300
293,2025-11-11 00:44:16.412583,3,FACEBOOK,SKU071,1,456508
294,2025-10-01 00:44:16.412583,4,ECOMMERCE,SKU044,2,581490
295,2025-11-25 00:44:16.412583,1,POS,SKU010,1,337337
296,2025-10-17 00:44:16.412583,2,WEB,SKU028,2,435796
297,2025-12-08 00:44:16.412583,4,ECOMMERCE,SKU094,3,463160
298,2025-10-30 00:44:16.412583,2,WEB,SKU007,3,310268
299,2025-12-11 00:44:16.412583,2,WEB,SKU008,3,407892
300,2025-11-15 00:44:16.412583,2,WEB,SKU062,1,407624
301,2025-11-20 00:44:16.412583,2,WEB,SKU061,3,374073
302,2025-10-06 00:44:16.412583,4,ECOMMERCE,SKU002,2,346867
303,2025-10-03 00:44:16.412583,2,WEB,SKU029,2,414176
304,2025-10-10 00:44:16.412583,1,POS,SKU008,2,407892
305,2025-12-13 00:44:16.412583,2,WEB,SKU098,2,224300
306,2025-12-13 00:44:16.412583,4,ECOMMERCE,SKU079,2,408261
307,2025-12-30 00:44:16.412583,3,FACEBOOK,SKU022,3,394027
308,2025-11-23 00:44:16.412583,2,WEB,SKU022,2,394027
309,2025-10-15 00:44:16.412583,1,POS,SKU001,2,321958
310,2025-10-03 00:44:16.412583,4,ECOMMERCE,SKU019,2,264820
311,2025-10-22 00:44:16.412583,4,ECOMMERCE,SKU052,3,203890
312,2025-11-28 00:44:16.412583,3,FACEBOOK,SKU092,3,457750
313,2025-11-16 00:44:16.412583,4,ECOMMERCE,SKU053,1,241606
314,2025-11-25 00:44:16.412583,2,WEB,SKU020,1,462913
315,2025-11-01 00:44:16.412583,1,POS,SKU033,2,592752
316,2025-12-15 00:44:16.412583,2,WEB,SKU079,2,408261
317,2025-12-07 00:44:16.412583,2,WEB,SKU096,1,420884
318,2025-11-20 00:44:16.412583,2,WEB,SKU088,2,423165
319,2025-11-13 00:44:16.412583,4,ECOMMERCE,SKU043,1,284654
320,2025-11-12 00:44:16.412583,3,FACEBOOK,SKU013,1,588468
321,2025-10-10 00:44:16.412583,1,POS,SKU085,3,402283
322,2025-12-21 00:44:16.412583,4,ECOMMERCE,SKU012,1,574871
323,2025-12-07 00:44:16.412583,3,FACEBOOK,SKU029,3,414176
324,2025-10-25 00:44:16.412583,4,ECOMMERCE,SKU082,2,515139
325,2025-11-14 00:44:16.412583,3,FACEBOOK,SKU074,3,306530
326,2025-12-22 00:44:16.412583,1,POS,SKU049,1,578360
327,2025-10-31 00:44:16.412583,4,ECOMMERCE,SKU055,1,549457
328,2025-10-19 00:44:16.412583,4,ECOMMERCE,SKU015,2,391335
329,2025-10-26 00:44:16.412583,4,ECOMMERCE,SKU007,1,310268
330,2025-12-17 00:44:16.412583,4,ECOMMERCE,SKU003,1,331932
331,2025-12-23 00:44:16.412583,1,POS,SKU084,1,471836
332,2025-10-23 00:44:16.412583,3,FACEBOOK,SKU055,3,549457
333,2025-12-03 00:44:16.412583,1,POS,SKU078,2,481601
334,2025-12-12 00:44:16.412583,3,FACEBOOK,SKU061,3,374073
335,2025-11-27 00:44:16.412583,2,WEB,SKU092,3,457750
336,2025-12-12 00:44:16.412583,4,ECOMMERCE,SKU068,3,354555
337,2025-12-21 00:44:16.412583,1,POS,SKU034,3,356730
338,2025-11-11 00:44:16.412583,3,FACEBOOK,SKU064,3,452801
339,2025-11-10 00:44:16.412583,3,FACEBOOK,SKU002,1,346867
340,2025-11-26 00:44:16.412583,2,WEB,SKU041,1,265725
341,2025-11-30 00:44:16.412583,4,ECOMMERCE,SKU034,2,356730
342,2025-12-20 00:44:16.412583,2,WEB,SKU002,2,346867
343,2025-11-05 00:44:16.412583,1,POS,SKU042,3,329981
344,2025-10-08 00:44:16.412583,4,ECOMMERCE,SKU034,2,356730
345,2025-12-04 00:44:16.412583,1,POS,SKU080,1,440181
346,2025-11-09 00:44:16.412583,2,WEB,SKU060,2,405041
347,2025-11-27 00:44:16.412583,3,FACEBOOK,SKU076,1,498064
348,2025-10-08 00:44:16.412583,4,ECOMMERCE,SKU025,2,399041
349,2025-11-06 00:44:16.412583,4,ECOMMERCE,SKU055,1,549457
350,2025-12-22 00:44:16.412583,2,WEB,SKU081,1,541097
351,2025-12-18 00:44:16.412583,3,FACEBOOK,SKU075,3,280077
352,2025-12-04 00:44:16.412583,1,POS,SKU047,2,528947
353,2025-11-29 00:44:16.412583,2,WEB,SKU053,3,241606
354,2025-12-10 00:44:16.412583,3,FACEBOOK,SKU052,3,203890
355,2025-10-06 00:44:16.412583,4,ECOMMERCE,SKU064,2,452801
356,2025-12-13 00:44:16.412583,1,POS,SKU093,3,553531
357,2025-10-25 00:44:16.412583,3,FACEBOOK,SKU045,2,267435
358,2025-12-17 00:44:16.412583,1,POS,SKU083,2,371829
359,2025-12-04 00:44:16.412583,4,ECOMMERCE,SKU092,1,457750
360,2025-10-08 00:44:16.412583,4,ECOMMERCE,SKU090,2,211534
361,2025-10-14 00:44:16.412583,4,ECOMMERCE,SKU042,2,329981
362,2025-10-11 00:44:16.412583,3,FACEBOOK,SKU099,3,282798
363,2025-12-22 00:44:16.412583,3,FACEBOOK,SKU084,1,471836
364,2025-10-06 00:44:16.412583,3,FACEBOOK,SKU031,1,547449
365,2025-12-30 00:44:16.412583,4,ECOMMERCE,SKU034,2,356730
366,2025-11-26 00:44:16.412583,4,ECOMMERCE,SKU098,3,224300
367,2025-12-06 00:44:16.412583,2,WEB,SKU075,3,280077
368,2025-10-21 00:44:16.412583,1,POS,SKU014,2,375203
369,2025-11-17 00:44:16.412583,3,FACEBOOK,SKU022,2,394027
370,2025-11-19 00:44:16.412583,2,WEB,SKU095,2,255591
371,2025-11-13 00:44:16.412583,3,FACEBOOK,SKU095,3,255591
372,2025-12-16 00:44:16.412583,2,WEB,SKU083,1,371829
373,2025-12-20 00:44:16.412583,2,WEB,SKU071,3,456508
374,2025-11-12 00:44:16.412583,3,FACEBOOK,SKU047,1,528947
375,2025-11-12 00:44:16.412583,2,WEB,SKU024,1,452709
376,2025-12-11 00:44:16.412583,1,POS,SKU041,3,265725
377,2025-11-19 00:44:16.412583,1,POS,SKU011,2,287498
378,2025-11-02 00:44:16.412583,4,ECOMMERCE,SKU066,3,451995
379,2025-12-24 00:44:16.412583,2,WEB,SKU018,3,529365
380,2025-10-20 00:44:16.412583,4,ECOMMERCE,SKU080,2,440181
381,2025-10-11 00:44:16.412583,1,POS,SKU081,3,541097
382,2025-12-24 00:44:16.412583,2,WEB,SKU036,1,584681
383,2025-11-14 00:44:16.412583,4,ECOMMERCE,SKU052,2,203890
384,2025-12-23 00:44:16.412583,2,WEB,SKU060,3,405041
385,2025-12-24 00:44:16.412583,3,FACEBOOK,SKU020,2,462913
386,2025-10-17 00:44:16.412583,2,WEB,SKU066,3,451995
387,2025-12-30 00:44:16.412583,2,WEB,SKU079,1,408261
